Status,Name,Category,Location,Founded,Latest Investment,Round (1 Year),Portfolio,Total Raised
Active,Oxbull,- -,- -,2021,"Apr 19, 2024",2,4,--
Active,Goldman Sachs,Traditional Enterprises,United States,1869,"Apr 19, 2024",2,13,--
Active,Scytale Ventures,Crypto-Native Fund,--,--,"Apr 17, 2024",2,10,--
Active,Eden Block,Crypto-Native Fund,Britain,2018,"Apr 17, 2024",2,19,--
Active,Kima Ventures,Traditional Fund,France,2010,"Apr 17, 2024",2,18,--
Active,Wave Digital Assets,- -,United States,2018,"Apr 16, 2024",2,21,--
Active,BasedVC,Crypto-Native Fund,--,--,"Apr 16, 2024",2,3,--
Active,SwissBorg Ventures,Crypto-Native Fund,Switzerland,2021,"Apr 16, 2024",2,6,--
Active,Focus Labs,Crypto-Native Fund,--,2019,"Apr 15, 2024",2,11,--
Active,Mina,- -,United States,2017,"Apr 15, 2024",2,4,--
Active,Unreal Capital,Crypto-Native Fund,--,--,"Apr 15, 2024",2,2,--
Active,Fomocraft Ventures,Crypto-Native Fund,Hong Kong,2020,"Apr 15, 2024",2,17,--
Active,Yunt Capital,Crypto-Native Fund,United States,2020,"Apr 15, 2024",2,13,--
Active,Axiom Capital,Traditional Fund,--,1990,"Apr 10, 2024",2,2,--
Active,Cronos Labs,- -,- -,2020,"Apr 10, 2024",2,2,--
Active,Neopin,- -,- -,2021,"Apr 10, 2024",2,2,--
Active,Space Whale Capital,Crypto-Native Fund,United States,2018,"Apr 10, 2024",2,6,--
Active,Red DAO,- -,- -,2021,"Apr 09, 2024",2,8,--
Active,eGirl Capital,Crypto-Native Fund,--,--,"Apr 09, 2024",2,18,--
Active,Ryze Labs,Crypto-Native Fund,Chinese Mainland,2015,"Apr 09, 2024",2,56,$200 M
Active,Advancit Capital,Traditional Fund,United States,2011,"Apr 09, 2024",2,6,--
Active,Greenoaks Capital,Traditional Fund,United States,--,"Apr 09, 2024",2,7,--
Active,UniSat,- -,Hong Kong,2022,"Apr 05, 2024",2,2,--
Active,Rebase D. Ventures,Crypto-Native Fund,Chinese Mainland,--,"Apr 05, 2024",2,6,--
Active,NLVC,Traditional Fund,"Chinese Mainland, United States",2005,"Apr 05, 2024",2,3,--
Active,Avara,- -,- -,--,"Apr 05, 2024",2,3,--
Active,Ready Player DAO,- -,United States,2021,"Apr 04, 2024",2,18,--
Active,Portico VC,Crypto-Native Fund,--,--,"Apr 04, 2024",2,12,--
Active,DRK Lab,Crypto-Native Fund,--,--,"Apr 04, 2024",2,4,--
Active,7 O'Clock Capital,Crypto Projects Venture,Chinese Mainland,2020,"Apr 03, 2024",2,36,--
Active,Icetea Labs,- -,"Singapore, Vietnam",2021,"Apr 02, 2024",2,18,--
Active,Archer Capital,Crypto-Native Fund,--,--,"Apr 02, 2024",2,2,--
Active,Stateless Ventures,Crypto-Native Fund,--,2021,"Apr 01, 2024",2,6,--
Active,GoldenTree Asset Management,Traditional Fund,United States,2000,"Apr 01, 2024",2,27,--
Active,Axelar,- -,United States,2020,"Mar 28, 2024",2,4,--
Active,Cathay Innovation,Traditional Fund,--,--,"Mar 28, 2024",2,3,--
Active,IMO Ventures,Traditional Fund,"Chinese Mainland, Hong Kong, United States",2016,"Mar 26, 2024",2,12,--
Active,MoveBit,- -,- -,2022,"Mar 26, 2024",2,2,--
Active,Vision Capital,Crypto-Native Fund,--,--,"Mar 26, 2024",2,2,--
Active,London Real Ventures,Crypto Projects Venture,Britain,2023,"Mar 26, 2024",2,3,--
Active,Cryptopia VC,Crypto-Native Fund,--,--,"Mar 26, 2024",2,2,--
Active,Lecca Venture,Crypto-Native Fund,Korea,--,"Mar 26, 2024",2,3,--
Active,M77 Ventures,Crypto-Native Fund,--,--,"Mar 22, 2024",2,8,--
Active,M77 Ventures,Crypto-Native Fund,--,--,"Mar 22, 2024",2,8,--
Active,DCV Capital,Crypto-Native Fund,--,2021,"Mar 22, 2024",2,11,--
Active,Zellic,- -,United States,2020,"Mar 21, 2024",2,2,--
Active,Further Ventures,Traditional Fund,United Arab Emirates,2022,"Mar 21, 2024",2,2,--
Active,FalconX,- -,United States,2018,"Mar 21, 2024",2,9,--
Active,ZKValidator,- -,- -,2020,"Mar 21, 2024",2,8,--
Active,Pulsar,- -,Hong Kong,2014,"Mar 19, 2024",2,2,--
Active,LucidBlue Ventures,Crypto-Native Fund,--,2017,"Mar 19, 2024",2,35,--
Active,Fuse Capital,Traditional Fund,Brazil,2019,"Mar 19, 2024",2,4,--
Active,SANYUAN Capital,Crypto-Native Fund,--,--,"Mar 15, 2024",2,3,--
Active,Informal Systems,- -,Canada,2019,"Mar 14, 2024",2,6,--
Active,Picus Capital,Traditional Fund,--,2015,"Mar 14, 2024",2,11,--
Active,Com2Us,Traditional Enterprises,--,--,"Mar 14, 2024",2,13,--
Active,BlockBooster,- -,- -,2023,"Mar 14, 2024",2,2,--
Active,Jabre Capital Partners,Traditional Fund,Switzerland,2006,"Mar 14, 2024",2,4,--
Active,Redline Labs,Crypto-Native Fund,--,2017,"Mar 13, 2024",2,49,--
Active,Altcoin Buzz,- -,Singapore,2017,"Mar 13, 2024",2,2,--
Active,Baselayer Capital,Traditional Fund,United States,--,"Mar 13, 2024",2,7,--
Active,Incuba Alpha,Crypto-Native Fund,"Chinese Mainland, Japan",--,"Mar 11, 2024",2,31,--
Active,Spirit Blockchain Capital,Crypto-Native Fund,--,--,"Mar 08, 2024",2,4,--
Active,Aglaé Ventures,Traditional Enterprises,France,--,"Mar 07, 2024",2,11,--
Active,Raptor Group,Others,--,--,"Mar 07, 2024",2,17,--
Active,NFX,Traditional Fund,United States,2015,"Mar 05, 2024",2,41,--
Active,M13,Traditional Fund,--,2016,"Mar 05, 2024",2,17,--
Active,SwissBorg,- -,- -,2016,"Mar 02, 2024",2,3,--
Active,Compa Capital,Crypto-Native Fund,--,--,"Mar 01, 2024",2,4,--
Active,Youbi Capital,Crypto-Native Fund,Chinese Mainland,2017,"Mar 01, 2024",2,88,--
Active,Lvna Capital,Crypto-Native Fund,--,--,"Feb 27, 2024",2,4,--
Active,TCG Crypto,Traditional Fund,United States,2010,"Feb 27, 2024",2,25,--
Active,Vertex Ventures,Traditional Fund,Singapore,1988,"Feb 27, 2024",2,5,--
Active,Bass Investment,Traditional Fund,Korea,--,"Feb 26, 2024",2,2,--
Active,Binary Builders,- -,- -,2020,"Feb 23, 2024",2,2,--
Active,Inovo VC,Traditional Fund,--,--,"Feb 22, 2024",2,2,--
Active,Apollo Crypto,Crypto-Native Fund,Australia,--,"Feb 22, 2024",2,18,--
Active,SnackClub,- -,Brazil,2022,"Feb 20, 2024",2,10,--
Active,Bison Fund,Crypto-Native Fund,United States,2021,"Feb 20, 2024",2,8,--
Active,Yuga Labs,- -,United States,2021,"Feb 16, 2024",2,6,--
Active,Sparkle Ventures,Crypto-Native Fund,--,--,"Feb 16, 2024",2,16,--
Active,PayPal Ventures,Traditional Enterprises,United States,--,"Feb 16, 2024",2,14,--
Active,Block Consult,Crypto Projects Venture,Switzerland,2022,"Feb 15, 2024",2,2,--
Active,Zeal Capital,Crypto-Native Fund,--,--,"Feb 14, 2024",2,5,--
Active,Ripple,- -,United States,2012,"Feb 13, 2024",2,15,--
Active,Polygon Labs,Crypto Projects Venture,United States,2021,"Feb 09, 2024",2,54,$100 M
Active,4SV,Crypto-Native Fund,--,--,"Feb 09, 2024",2,13,--
Active,Factor Capital,Crypto-Native Fund,United States,2023,"Feb 08, 2024",2,5,--
Active,BitGo,- -,United States,2013,"Feb 07, 2024",2,4,--
Active,FinTech Collective,Traditional Fund,United States,2012,"Feb 06, 2024",2,33,--
Active,468 Capital,Traditional Fund,--,--,"Feb 05, 2024",2,4,--
Active,Credo Ventures,Traditional Fund,Czecho,2010,"Feb 05, 2024",2,2,--
Active,MOBOX,- -,Hong Kong,2020,"Feb 05, 2024",2,2,--
Active,Timechain,Crypto-Native Fund,Britain,2022,"Feb 02, 2024",2,4,--
Active,BITRIA,- -,- -,2017-01,"Feb 01, 2024",2,3,--
Active,Rocinante Research,- -,- -,--,"Feb 01, 2024",2,2,--
Active,BENQI,- -,- -,2020,"Jan 31, 2024",2,4,--
Active,County Capital,Crypto-Native Fund,--,2021,"Jan 26, 2024",2,5,--
Active,HG Ventures,Crypto-Native Fund,Korea,--,"Jan 24, 2024",2,22,--
Active,Version One,Traditional Fund,--,--,"Jan 24, 2024",2,17,--
Active,Script Capital,Traditional Fund,United States,2016,"Jan 24, 2024",2,12,--
Active,CoinDCX Ventures,Crypto-Native Fund,India,--,"Jan 23, 2024",2,12,--
Active,BlueYard Capital,Traditional Fund,--,--,"Jan 23, 2024",2,21,--
Active,BlueYard Capital,Traditional Fund,--,--,"Jan 23, 2024",2,21,--
Active,Kairon Labs,- -,Belgium,2019,"Jan 16, 2024",2,9,--
Active,Jambo,- -,- -,2022,"Jan 12, 2024",2,2,--
Active,One Block Capital,Crypto-Native Fund,--,2017,"Jan 12, 2024",2,23,--
Active,Octava,Traditional Enterprises,--,--,"Jan 10, 2024",2,7,--
Active,Balderton Capital,Traditional Fund,Britain,2000,"Jan 09, 2024",2,7,--
Active,Signature Ventures,Crypto-Native Fund,Germany,2019,"Jan 09, 2024",2,8,--
Active,SolrDAO,- -,- -,2021,"Jan 09, 2024",2,6,--
Active,Noir Ventures,- -,- -,--,"Jan 09, 2024",2,2,--
Active,Vespertine Capital,Crypto-Native Fund,--,--,"Dec 28, 2023",2,12,--
Active,Tectona,- -,Israel,--,"Dec 22, 2023",2,5,--
Active,Mensch Capital Partners,Traditional Fund,Israel,--,"Dec 21, 2023",2,3,--
Active,Beacon,Crypto Projects Venture,United States,2022,"Dec 19, 2023",2,2,--
Active,Seedcamp,Traditional Fund,Britain,2007,"Dec 19, 2023",2,10,--
Active,Bain Capital Ventures,Traditional Fund,--,--,"Dec 14, 2023",2,21,--
Active,w3.fund,Crypto-Native Fund,Germany,--,"Dec 14, 2023",2,5,$10.6 M
Active,Y Combinator,- -,United States,2005,"Dec 13, 2023",2,46,--
Active,MoonPay,- -,United States,--,"Dec 13, 2023",2,10,--
Active,Upsparks Capital,Traditional Fund,India,2020,"Dec 13, 2023",2,4,--
Active,B Dash Ventures,Traditional Fund,Japan,2011,"Dec 12, 2023",2,6,--
Active,MS2 Capital,Traditional Fund,--,--,"Dec 05, 2023",2,8,--
Active,Nonagon Capital,Crypto-Native Fund,--,--,"Nov 29, 2023",2,5,--
Active,Bitcoin Opportunity Fund,Crypto-Native Fund,--,--,"Nov 29, 2023",2,2,--
Active,Ayre Ventures,Traditional Fund,--,--,"Nov 28, 2023",2,5,--
Active,Ceras Ventures,Crypto-Native Fund,United States,2020,"Nov 17, 2023",2,8,--
Active,Deep Ventures,Crypto-Native Fund,--,2020,"Nov 15, 2023",2,6,--
Active,Gnosis Chain,- -,- -,2018,"Nov 15, 2023",2,3,--
Active,Hard Yaka,Traditional Fund,United States,2010,"Nov 15, 2023",2,29,--
Active,Serafund,Crypto-Native Fund,Canada,2021,"Nov 15, 2023",2,7,--
Active,DTCC,Traditional Enterprises,--,--,"Nov 14, 2023",2,2,--
Active,DTCC,Traditional Enterprises,--,--,"Nov 14, 2023",2,2,--
Active,BlackPine,Traditional Fund,--,--,"Nov 03, 2023",2,6,--
Active,Floodgate,Traditional Fund,United States,2006,"Nov 01, 2023",2,11,--
Active,MetaWeb Ventures,Crypto-Native Fund,--,2021,"Oct 27, 2023",2,31,$30 M
Active,FiveT Fintech,Traditional Fund,Switzerland,2018,"Oct 26, 2023",2,5,--
Active,Greylock,Traditional Fund,United States,1965,"Oct 24, 2023",2,17,--
Active,Third Kind Venture,Traditional Fund,United States,--,"Oct 24, 2023",2,15,--
Active,Jane Street Capital,Traditional Enterprises,United States,1999,"Oct 11, 2023",2,19,--
Active,33DAO,- -,- -,2022,"Oct 05, 2023",2,3,--
Active,Sound Ventures,Traditional Fund,United States,2015,"Sep 28, 2023",2,31,--
Active,Sancus Ventures,Traditional Enterprises,Singapore,2022,"Sep 18, 2023",2,5,--
Active,Serena Capital,Traditional Fund,--,--,"Sep 14, 2023",2,3,--
Active,LDA Capital,Others,--,--,"Sep 11, 2023",2,10,--
Active,Golden Record Ventures,Traditional Fund,--,2022,"Sep 05, 2023",2,2,--
Active,Parataxis Capital,Crypto-Native Fund,--,--,"Aug 16, 2023",2,8,--
Active,TokenPocket,- -,Singapore,2018,"Aug 08, 2023",2,9,--
Active,Kleiner Perkins,Traditional Fund,United States,--,"Jul 18, 2024",1,15,--
Active,Chainview Capital,Crypto-Native Fund,United States,2018,"Jul 18, 2024",1,1,--
Active,Theory Ventures,Traditional Fund,--,--,"Jul 18, 2024",1,1,--
Active,Tencent,Traditional Enterprises,Chinese Mainland,--,"Jul 18, 2024",1,4,--
Active,Crucible Capital,Crypto-Native Fund,--,2024,"Jul 16, 2024",1,1,--
Active,Luxor,- -,United States,2017,"Jul 15, 2024",1,4,--
Active,Core Ventures,Crypto Projects Venture,--,2024,"Jul 15, 2024",1,1,--
Active,MMC Ventures,Traditional Fund,Britain,--,"Jul 15, 2024",1,3,--
Active,Mr. Block,- -,Taiwan,--,"Jul 15, 2024",1,1,--
Active,Initialized Capital,Traditional Fund,United States,2012,"Jul 15, 2024",1,20,--
Active,Standard Chartered,Traditional Enterprises,Britain,--,"Jul 12, 2024",1,3,--
Active,Aleph Zero,- -,Switzerland,2018,"Jul 09, 2024",1,1,--
Active,Arete Capital,Crypto-Native Fund,--,2024,"Jul 09, 2024",1,1,--
Active,Valour,- -,- -,2019,"Jul 09, 2024",1,1,--
Active,Aleph Zero,- -,Switzerland,2018,"Jul 09, 2024",1,1,--
Active,MiraclePlus,Others,Chinese Mainland,2018,"Jul 08, 2024",1,2,--
Active,Chromia,- -,Sweden,2018,"Jul 05, 2024",1,4,--
Active,Mines of Dalarnia,- -,- -,2019,"Jul 05, 2024",1,1,--
Active,My Neighbor Alice,- -,- -,2020,"Jul 05, 2024",1,1,--
Active,Legion Ventures,Crypto-Native Fund,Romania,2021,"Jul 04, 2024",1,12,--
Active,Binance,- -,- -,2017,"Jul 04, 2024",1,13,--
Active,Ambush,- -,- -,2024,"Jul 04, 2024",1,1,--
Active,FOMO Ventures,Crypto-Native Fund,--,2024,"Jul 04, 2024",1,1,--
Active,CoinDCX,- -,India,2018,"Jul 03, 2024",1,1,--
Active,Pitango,Traditional Fund,--,--,"Jul 02, 2024",1,2,--
Active,Babylon,- -,United States,2022-01,"Jul 02, 2024",1,1,--
Active,Triton Liquid Fund,Crypto-Native Fund,--,--,"Jul 02, 2024",1,1,--
Active,Artichoke,- -,- -,2023,"Jul 02, 2024",1,1,--
Active,Index Ventures,Traditional Fund,--,--,"Jul 02, 2024",1,6,--
Active,Genopets,- -,- -,2021,"Jul 01, 2024",1,1,--
Active,Boston Consulting Group,Traditional Enterprises,United States,--,"Jul 01, 2024",1,2,--
Active,Radiance Ventures,Crypto Projects Venture,--,2023,"Jul 01, 2024",1,1,--
Active,DRiP,- -,- -,2022,"Jul 01, 2024",1,1,--
Active,Pudgy Penguins,- -,- -,2021,"Jun 28, 2024",1,1,--
Active,Bitget Wallet,- -,Chinese Mainland,2018,"Jun 28, 2024",1,2,--
Active,CleanSpark,- -,United States,1987,"Jun 27, 2024",1,1,--
Active,DRW Venture Capital,Traditional Fund,United States,2014,"Jun 26, 2024",1,14,--
Active,Aurory,- -,France,2021,"Jun 25, 2024",1,1,--
Active,Ava Protocol,- -,United States,2020,"Jun 25, 2024",1,1,--
Active,Coatue Management,Traditional Fund,United States,1999,"Jun 24, 2024",1,19,--
Active,Amesten Capital,Crypto-Native Fund,India,2020,"Jun 21, 2024",1,9,--
Active,Spacebar,- -,- -,2021,"Jun 20, 2024",1,1,--
Active,Manifold,- -,Canada,2021,"Jun 20, 2024",1,1,--
Active,DeFi Capital,Crypto-Native Fund,--,--,"Jun 19, 2024",1,16,--
Active,Memeland,- -,Hong Kong,2022,"Jun 17, 2024",1,1,--
Active,Orthogonal Labs,Crypto-Native Fund,--,--,"Jun 17, 2024",1,1,--
Active,RR2 Capital,Crypto-Native Fund,--,--,"Jun 14, 2024",1,16,--
Active,Persistence,- -,Singapore,2019,"Jun 14, 2024",1,1,--
Active,Trident Digital,- -,United States,2023,"Jun 13, 2024",1,1,--
Active,Permanent Ventures,Crypto-Native Fund,United States,2021,"Jun 12, 2024",1,5,--
Active,zCloak Network,- -,- -,2020,"Jun 12, 2024",1,1,--
Active,EigenLayer,- -,- -,2022,"Jun 12, 2024",1,1,--
Active,G20 Ventures,Crypto-Native Fund,United States,2013,"Jun 12, 2024",1,4,--
Active,coinIX,Crypto-Native Fund,Germany,2017,"Jun 12, 2024",1,7,--
Active,JRR Crypto,Crypto-Native Fund,--,2018,"Jun 12, 2024",1,32,--
Active,Majinx,- -,- -,2022,"Jun 10, 2024",1,1,--
Active,Uniswap,- -,United States,2018,"Jun 10, 2024",1,2,--
Active,Republic,- -,United States,2016,"Jun 07, 2024",1,3,--
Active,TCG,Crypto-Native Fund,--,--,"Jun 06, 2024",1,10,--
Active,LG Tech Ventures,Traditional Fund,United States,2018,"Jun 06, 2024",1,2,--
Active,Cyberport,- -,Hong Kong,2023,"Jun 06, 2024",1,3,--
Active,Earlybird Venture,Traditional Fund,--,--,"Jun 05, 2024",1,5,--
Active,Distributed Capital Partners,Crypto-Native Fund,--,--,"Jun 05, 2024",1,2,--
Active,NFT Plazas,- -,- -,2018,"Jun 04, 2024",1,1,--
Active,KB Investment,Traditional Fund,Korea,1990,"Jun 03, 2024",1,8,--
Active,Unity Ventures,Traditional Fund,--,--,"May 31, 2024",1,1,--
Active,Necessary Ventures,Traditional Fund,--,2020,"May 31, 2024",1,1,--
Active,KuCoin,- -,"Singapore, Thailand",2017,"May 31, 2024",1,2,--
Active,Node Kapital,Crypto-Native Fund,--,2017,"May 31, 2024",1,3,--
Active,KEKKAI,- -,Japan,2022,"May 31, 2024",1,1,--
Active,NFTScan,- -,Chinese Mainland,2021,"May 31, 2024",1,3,--
Active,WhiteList Ventures,Crypto-Native Fund,--,--,"May 31, 2024",1,4,--
Active,Allnodes,- -,- -,2018,"May 30, 2024",1,1,--
Active,P2P Validator,- -,- -,2018,"May 30, 2024",1,9,--
Active,StakeWith.us,- -,- -,2019,"May 30, 2024",1,2,--
Active,Allnodes,- -,- -,2018,"May 30, 2024",1,1,--
Active,Stakin,- -,- -,2018,"May 30, 2024",1,1,--
Active,P2P Validator,- -,- -,2018,"May 30, 2024",1,9,--
Active,BetterverseDao,- -,- -,2021,"May 29, 2024",1,6,--
Active,Tide Protocol,- -,Italy,2022,"May 29, 2024",1,1,--
Active,PreSeed Ventures,Traditional Fund,Denmark,2000,"May 29, 2024",1,3,--
Active,Cabrit Capital,Crypto-Native Fund,--,--,"May 29, 2024",1,2,--
Active,SIG Asia Investment Fund,Traditional Fund,Chinese Mainland,2005,"May 29, 2024",1,11,--
Active,OtterSec,- -,- -,2022,"May 28, 2024",1,1,--
Active,AGE Crypto,Crypto Projects Venture,United States,2018,"May 28, 2024",1,7,--
Active,EVM Capital,Crypto-Native Fund,--,2020,"May 28, 2024",1,1,--
Active,Finlink Capital,Crypto-Native Fund,Hong Kong,2019,"May 27, 2024",1,6,--
Active,Rise Capital,Crypto-Native Fund,--,--,"May 27, 2024",1,1,--
Active,GEM Digital,Crypto-Native Fund,Bahamas,2022,"May 27, 2024",1,11,--
Active,SV Angel,Traditional Fund,United States,--,"May 23, 2024",1,43,--
Active,VersiFi,- -,United States,2022,"May 23, 2024",1,1,--
Active,SoftBank,Traditional Enterprises,Japan,--,"May 23, 2024",1,4,--
Active,Portugal Ventures,Traditional Fund,--,--,"May 23, 2024",1,2,--
Active,EJF Capital,Traditional Fund,--,--,"May 23, 2024",1,2,--
Active,Bit Digital,- -,United States,--,"May 23, 2024",1,2,--
Active,Aquarius,Crypto-Native Fund,United States,2018,"May 23, 2024",1,1,--
Active,dlab,- -,United States,2018,"May 22, 2024",1,3,--
Active,SCB Digital Ventures,Traditional Enterprises,Thailand,2016,"May 22, 2024",1,2,--
Active,Tulipa Capital,Crypto-Native Fund,--,--,"May 22, 2024",1,1,--
Active,NOIA Capital,Others,Luxembourg,--,"May 22, 2024",1,7,--
Active,Lukka,- -,United States,2014,"May 21, 2024",1,4,--
Active,Phantom,- -,- -,2021,"May 21, 2024",1,1,--
Active,Spykefast Capital,Crypto-Native Fund,--,--,"May 20, 2024",1,2,--
Active,Frachtis,Crypto-Native Fund,--,2024,"May 20, 2024",1,1,--
Active,YAY Network,- -,Britain,2021,"May 20, 2024",1,1,--
Active,Frachtis,Crypto-Native Fund,--,2024,"May 20, 2024",1,1,--
Active,Acquire,- -,- -,2022,"May 20, 2024",1,1,--
Active,MasterBlox,- -,Portugal,2021,"May 19, 2024",1,1,--
Active,Plural,Traditional Fund,--,--,"May 16, 2024",1,3,--
Active,Unicorn Factory Ventures,Crypto-Native Fund,--,2022,"May 15, 2024",1,1,--
Active,AVentures,- -,- -,2021,"May 15, 2024",1,8,--
Active,Sygnum,- -,Switzerland,2017,"May 15, 2024",1,5,--
Active,Fuel,- -,United States,2019,"May 15, 2024",1,1,--
Active,SingularityNET,- -,Netherlands,--,"May 14, 2024",1,1,--
Active,Creditcoin,- -,- -,2019,"May 13, 2024",1,1,--
Active,Scimitar Capital,- -,- -,2023,"May 13, 2024",1,1,--
Active,Matr1x,- -,- -,2022,"May 10, 2024",1,1,--
Active,Phoenix,- -,- -,2017,"May 10, 2024",1,1,--
Active,Intel Capital,Traditional Enterprises,--,--,"May 09, 2024",1,4,--
Active,Greythorn Asset Management,Crypto Projects Venture,Australia,--,"May 09, 2024",1,2,--
Active,Web3Vision,Crypto-Native Fund,--,--,"May 09, 2024",1,2,--
Active,DegenScore,- -,- -,--,"May 08, 2024",1,2,--
Active,Saitama,- -,- -,2021,"May 08, 2024",1,1,--
Active,Kroma,- -,- -,2023,"May 08, 2024",1,1,--
Active,Router Protocol,- -,India,--,"May 08, 2024",1,1,--
Active,CE Innovation Capital,Traditional Fund,--,--,"May 08, 2024",1,4,--
Active,Aevo,- -,- -,2022,"May 08, 2024",1,1,--
Active,Metis,- -,Canada,2021,"May 07, 2024",1,2,--
Active,DePIN X,Crypto-Native Fund,--,--,"May 07, 2024",1,1,--
Active,Ambient Network,- -,- -,2024,"May 07, 2024",1,1,--
Active,CoinGecko Ventures,Crypto Projects Venture,--,--,"May 07, 2024",1,24,--
Active,Zora,- -,- -,2020,"May 07, 2024",1,1,--
Active,Resolute Ventures,Traditional Fund,United States,2012,"May 03, 2024",1,6,--
Active,Fika Ventures,Traditional Fund,--,2016,"May 03, 2024",1,2,--
Active,Paragraph,- -,- -,2021,"May 02, 2024",1,1,--
Active,Circle,- -,United States,2013,"May 01, 2024",1,3,--
Active,BlackRock,Traditional Enterprises,United States,1988,"May 01, 2024",1,5,--
Active,Exor Seeds,Traditional Fund,Italy,--,"Apr 30, 2024",1,5,--
Active,Cherry Ventures,Traditional Fund,--,--,"Apr 30, 2024",1,2,--
Active,AlphaGrep,Traditional Enterprises,India,2009,"Apr 30, 2024",1,3,--
Active,Aipollo Investment,Traditional Fund,--,--,"Apr 29, 2024",1,3,--
Active,ARPA,- -,Singapore,2018,"Apr 25, 2024",1,3,--
Active,Jupiter,- -,- -,2021,"Apr 23, 2024",1,1,--
Active,Race Capital,Traditional Fund,--,--,"Apr 23, 2024",1,19,--
Active,Sangha Capital,Traditional Fund,Switzerland,--,"Apr 19, 2024",1,6,--
Active,Nima Capital,Crypto-Native Fund,United States,--,"Apr 19, 2024",1,26,--
Active,Alex,- -,"Hong Kong, United States",2021,"Apr 19, 2024",1,1,--
Active,Deutsche Bank,Traditional Enterprises,--,--,"Apr 19, 2024",1,3,--
Active,BTS Labs,Crypto-Native Fund,--,2019,"Apr 19, 2024",1,2,--
Active,Citi,Traditional Enterprises,--,--,"Apr 19, 2024",1,1,--
Active,APY.vision,- -,- -,2020,"Apr 19, 2024",1,1,--
Active,ZenGo,- -,Israel,2018,"Apr 18, 2024",1,1,--
Active,Threshold,- -,- -,2021,"Apr 18, 2024",1,2,--
Active,Future Fund,- -,Poland,--,"Apr 18, 2024",1,3,--
Active,AladdinDAO,- -,- -,2021,"Apr 18, 2024",1,1,--
Active,DLC.Link,- -,Hungary,2021,"Apr 18, 2024",1,1,--
Active,Skynet Trading,- -,Hong Kong,2017,"Apr 17, 2024",1,24,--
Active,Autonomy Capital,Crypto-Native Fund,--,2003,"Apr 17, 2024",1,12,--
Active,SpartaDex,- -,- -,2023,"Apr 17, 2024",1,1,--
Active,DEC.ventures,Crypto-Native Fund,--,--,"Apr 17, 2024",1,5,--
Active,BCW Group,Crypto-Native Fund,Hong Kong,2017,"Apr 16, 2024",1,5,--
Active,stakefish,- -,- -,--,"Apr 16, 2024",1,8,--
Active,LeadBlock Partners,Crypto-Native Fund,--,2020,"Apr 16, 2024",1,11,$150 M
Active,Rarible,- -,United States,2019,"Apr 16, 2024",1,2,--
Active,LeadBlock Partners,Crypto-Native Fund,--,2020,"Apr 16, 2024",1,11,$150 M
Active,Metropolis,- -,- -,2020,"Apr 15, 2024",1,1,--
Active,Vamient.xyz,- -,- -,2022,"Apr 15, 2024",1,1,--
Active,Follow the Seed,Traditional Fund,--,2015,"Apr 15, 2024",1,2,--
Active,Delphi Ventures,Crypto-Native Fund,United States,2021,"Apr 15, 2024",1,1,--
Active,Raptor Capital,Crypto-Native Fund,--,2009,"Apr 12, 2024",1,24,--
Active,ARKN Ventures,Crypto-Native Fund,Britain,2021,"Apr 12, 2024",1,5,--
Active,OZARU,- -,Hong Kong,2021,"Apr 12, 2024",1,1,--
Active,Plutus VC,Traditional Fund,Hong Kong,2011,"Apr 11, 2024",1,14,--
Active,INSIDΞRUM,Crypto-Native Fund,--,2023,"Apr 11, 2024",1,1,--
Active,Stage 2 Capital,Traditional Fund,--,2018,"Apr 11, 2024",1,1,--
Active,Signum Growth,Traditional Enterprises,--,2018,"Apr 11, 2024",1,3,--
Active,AIT Protocol,- -,- -,2022,"Apr 11, 2024",1,1,--
Active,Stillmark,Crypto-Native Fund,--,2019,"Apr 10, 2024",1,10,--
Active,Village Global,Traditional Fund,United States,2017,"Apr 10, 2024",1,12,--
Active,Mayfield,Traditional Enterprises,United States,1969,"Apr 10, 2024",1,3,--
Active,Marathon Digital,- -,- -,--,"Apr 10, 2024",1,2,--
Active,Digits Ventures,Crypto-Native Fund,--,--,"Apr 10, 2024",1,1,--
Active,GBIC,Crypto-Native Fund,United States,2017,"Apr 10, 2024",1,35,--
Active,Celesta Capital,Traditional Fund,United States,2013,"Apr 10, 2024",1,1,--
Active,Story Protocol,- -,- -,2021,"Apr 10, 2024",1,1,--
Active,Double Down,Crypto-Native Fund,United States,2022,"Apr 09, 2024",1,5,--
Active,Decentralised.co,- -,- -,2022,"Apr 09, 2024",1,1,--
Active,Kronos Ventures,Traditional Fund,--,--,"Apr 08, 2024",1,1,--
Active,Kernel Ventures,Crypto-Native Fund,Chinese Mainland,--,"Apr 08, 2024",1,31,--
Active,8VC,Traditional Fund,United States,--,"Apr 06, 2024",1,3,--
Active,FireEyes DAO,- -,- -,--,"Apr 05, 2024",1,8,--
Active,Friends With Benefits（FWB）,- -,- -,2020,"Apr 05, 2024",1,1,--
Active,SeeDAO,- -,Chinese Mainland,2021,"Apr 05, 2024",1,1,--
Active,East Ventures,Traditional Fund,Singapore,2009,"Apr 04, 2024",1,12,--
Active,East Ventures,Traditional Fund,Singapore,2009,"Apr 04, 2024",1,12,--
Active,K24 Ventures,Crypto-Native Fund,"Britain, Singapore",2021,"Apr 04, 2024",1,8,--
Active,Beenext,Traditional Fund,--,--,"Apr 04, 2024",1,7,--
