Rank,Name,Price,Market Cap,FDV,Ecosystem,Exchange
334,NYM NYM,$0.103,$81.94 M,$103.11 M,,
335,ATOR Protocol ATOR,$1.08,$81.49 M,$139.32 M,,
336,ApeX APEX,$1.75,$82.97 M,$1.04 B,"Ethereum, Polygon, BNB Chain, Arbitrum","CoinEx, HitBTC"
336,dKargo DKA,$0.019,$82.45 M,$97.49 M,,
338,Radiant Capital RDNT,$0.076,$81.78 M,$117.42 M,,
339,Boba Network BOBA,$0.2123,$81.27 M,$107.54 M,"Ethereum, BNB Chain, Avalanche, Fantom, Moonbeam","Coinbase, HTX, Bybit, KuCoin, Kraken, Bitfinex, MEXC, CoinEx"
340,Wilder World WILD,$0.2927,$80.99 M,$148.37 M,Ethereum,"Bitget, KuCoin, Bitfinex, MEXC"
341,Dora Factory DORA,$0.08,$80.3 M,$74.97 M,"Ethereum, Polkadot",
342,RSS3 RSS3,$0.1187,$80.12 M,$123.43 M,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Base, Fantom, Gnosis Chain, Celo",
343,Sleepless AI AI,$0.3862,$79.78 M,$386.26 M,BNB Chain,
344,Dogelon Mars ELON,$0.00000014,$79.41 M,$144.94 M,"Ethereum, Polygon, Solana",
345,LandWolf WOLF,$0.0079,$79.3 M,$79.3 M,Solana,"Bitget, MEXC, Gate.io"
346,Shentu Chain CTK,$0.5759,$78.7 M,$78.7 M,,
347,Big Time BIGTIME,$0.077,$78.66 M,$387.07 M,Ethereum,"FameEX, CoinEx, HitBTC, BTSE"
348,Kyber Network KNC,$0.4631,$78.79 M,$112.72 M,"Ethereum, Polygon, BNB Chain, Solana, Avalanche, Arbitrum, Optimism, ZkSync, Linea, Fantom, Scroll, Aurora, Cronos, Oasis, Velas, BitTorrent","HTX, Bitget, Upbit, KuCoin, Kraken, Bitstamp, Bitfinex, MEXC, Crypto.com, Gate.io, XT.COM, CoinEx, HitBTC, BTSE"
349,PolyHedra ZKJ,$1.29,$78.15 M,$1.29 B,,CoinEx
350,Hooked Protocol HOOK,$0.4321,$77.22 M,$215.31 M,"BNB Chain, Sei Network","Phemex, AscendEX, Bitrue, Tokocrypto, Bitvavo, FameEX, CoinEx, HitBTC"
350,Abracadabra SPELL,$0.00052,$78.01 M,$106.17 M,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Fantom, Kava, Blast",CoinEx
351,Gearbox GEAR,$0.0077,$77.39 M,$78.39 M,"Ethereum, Arbitrum",CoinEx
353,Constellation Network DAG,$0.025,$76.97 M,$89.59 M,,
354,Steem STEEM,$0.1641,$76.92 M,$160.01 M,,
355,Standard Tokenization Protocol STPT,$0.039,$76.39 M,$76.31 M,,"Crypto.com, Gate.io, Coinone, Bitrue, Poloniex, Tokocrypto, CoinEx"
356,DESO DESO,$8.5,$75.53 M,$91.89 M,,
357,Phala Network PHA,$0.1026,$76.01 M,$105.39 M,"Ethereum, Polygon, BNB Chain, Arbitrum, Optimism, Polkadot, Astar",
358,Stride STRD,$0.8565,$75.22 M,$85.65 M,Cosmos,"Kraken, MEXC, CoinEx"
359,Moonriver MOVR,$8.26,$74.87 M,$95.57 M,Kusama,
360,XYO XYO,$0.0052,$73.02 M,$72.9 M,,
361,MobileCoin MOB,$0.3607,$71.5 M,$90.19 M,,"BIGONE, CoinEx"
363,Dent DENT,$0.00076,$73.21 M,$78.11 M,Ethereum,
364,Milady LADYS,$0.000000099,$72.71 M,$87.93 M,Ethereum,"Crypto.com, Gate.io"
365,MediBloc MED,$0.008,$72.68 M,$79.94 M,,
365,Maya Protocol CACAO,$0.7313,$73.06 M,$73.35 M,Cosmos,
366,Covalent CXT,$0.085,$72 M,$86.57 M,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Base, ZkSync, Linea, Near, Fantom, Gnosis Chain, SKALE, Boba, Harmony, Aurora, Fuse, Cosmos, Moonriver, Moonbeam, Mantle, Flare Network",
367,Omni Network OMNI,$8.31,$71.84 M,$831.47 M,,
368,Gods Unchained GODS,$0.2305,$71.67 M,$118.12 M,Immutable X,
369,Civic CVC,$0.088,$71.47 M,$90.88 M,"Ethereum, Solana","Binance, Coinbase, OKX, Gate.io"
370,Cyber CYBER,$3.07,$71.54 M,$316.38 M,"Ethereum, BNB Chain, Solana, Optimism, Nervos, Linea, (soon)",
372,DODO DODO,$0.1073,$70.78 M,$108.19 M,"Ethereum, Polygon, BNB Chain, Arbitrum, Base, Aurora, Conflux, Manta","Coinone, Bitrue, Tokocrypto, Bitvavo"
373,Data Ownership Protocol DOP,$0.0087,$69.66 M,$204.22 M,Ethereum,
374,Oasys OAS,$0.036,$69.16 M,$373.92 M,,
374,BakerySwap BAKE,$0.239,$69.25 M,$69.25 M,BNB Chain,"Binance, HTX, Bitget, Bybit, Kraken, MEXC, Gate.io, XT.COM, LATOKEN, LBank, BingX, BitMart, Phemex, Toolbit, Bitrue, Poloniex, Tokocrypto, FameEX, CoinEx, HitBTC, BTSE"
375,XPLA XPLA,$0.1124,$70.98 M,$224.8 M,Cosmos,CoinEx
376,Velo VELO,$0.0092,$68.6 M,$229.73 M,,
377,Wen WEN,$0.000094,$68.92 M,$68.92 M,Solana,
379,Aurora AURORA,$0.1379,$68.46 M,$138.29 M,Near,
379,Request Network REQ,$0.089,$68.53 M,$89.42 M,"Ethereum, Polygon, Near, Fantom, Gnosis Chain, Celo","Bitrue, Poloniex, Tokocrypto, Bitvavo, CoinEx"
380,Portal PORTAL,$0.2815,$68.1 M,$281.51 M,"Polygon, Solana","FameEX, Bilaxy, CoinEx, BTSE"
381,Synapse SYN,$0.3655,$67.97 M,$91.39 M,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Fantom, Harmony, Aurora, Cronos, Metis, Klaytn, Canto, Moonriver, Moonbeam, Terra Classic, Blast, DFK Chain",
382,ChainGPT CGPT,$0.1313,$67.76 M,$141.27 M,BNB Chain,CoinEx
383,CUDOS CUDOS,$0.0091,$66.36 M,$88.04 M,Cosmos,"AscendEX, CoinEx"
384,Hashflow HFT,$0.152,$66.73 M,$155.32 M,,"HTX, Bitget, Bybit, KuCoin, Kraken, MEXC, CoinEx"
385,Solidus Ai Tech AITECH,$0.092,$65.74 M,$199.57 M,BNB Chain,
386,SaitaChain STC,$0.0015,$66.04 M,$312.95 M,,
387,Stargate Finance STG,$0.3222,$65.84 M,$325.24 M,,
388,Syscoin SYS,$0.081,$64.49 M,$66.36 M,,
389,Bancor BNT,$0.5097,$64.02 M,$65.56 M,"Bitcoin, Ethereum, Base, Linea, Fantom","Binance, Gate.io, Bitvavo"
390,Forta Network FORT,$0.1445,$63.6 M,$146.85 M,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Fantom",
391,Vulcan Forged PYR,$2.65,$63.39 M,$134.31 M,"Ethereum, Polygon",
392,Hifi Finance HIFI,$0.471,$62.82 M,$67.66 M,"Polygon, (soon)","HTX, Bitget, Upbit, KuCoin, MEXC, Gate.io"
393,Loom Network LOOM,$0.05,$62.14 M,$66.84 M,Ethereum,"Toolbit, Bitrue, Poloniex, Bitvavo, CoinEx"
394,Phoenix PHB,$1.24,$63.04 M,$79.46 M,BNB Chain,"HTX, Bitget, Bybit, KuCoin, MEXC"
395,Liquity LQTY,$0.648,$62.4 M,$67.16 M,Ethereum,"HTX, Bitget, KuCoin, MEXC, LATOKEN, LBank, BingX, BitMart, WhiteBIT, Phemex, Coinone, Bitrue, Bitkub, Bitvavo, CoinEx"
396,PlatON LAT,$0.01,$62.1 M,$106.88 M,,"Gate.io, LBank, BingX, BitMart, CoinEx, BTSE"
398,Bluzelle BLZ,$0.143,$61.76 M,$73.53 M,,"XT.COM, FameEX, CoinEx"
399,Pocket Network POKT,$0.037,$61.36 M,$63 M,"Ethereum, Polygon, BNB Chain, Solana, Fantom, Celo, Fuse, Algorand",
400,Spectral SPEC,$5.84,$61.44 M,$586.59 M,Base,"Crypto.com, Gate.io, BingX"
400,Metal Pay MTL,$0.9403,$60.74 M,$73.46 M,,"Phemex, Coinone, Bitrue, Tokocrypto, Bitvavo, CoinEx"
401,BENQI QI,$0.012,$61.07 M,$94.24 M,Avalanche,"LATOKEN, LBank, BingX, Bitrue, Poloniex, Bitkub, CoinEx"
402,Drift DRIFT,$0.3273,$60.06 M,$327.33 M,Solana,"Coinbase, HTX, Bitget, Bybit, KuCoin, Kraken, MEXC, Crypto.com, Gate.io, Orca, Jupiter, XT.COM, BingX, BitMart, Phemex, AscendEX, Bitrue, Poloniex, Bitvavo, CoinEx, BTSE"
402,LimeWire LMWR,$0.2102,$61.04 M,$133.18 M,Polygon,
403,OctaSpace OCTA,$1.92,$62.64 M,$64.23 M,,MEXC
403,Ark ARK,$0.3323,$60.67 M,$60.67 M,,"Binance, Bitget, Bybit, Upbit, KuCoin, MEXC, Crypto.com, Gate.io, LBank, BingX, BitMart, WhiteBIT, Phemex, Bitrue, Bitvavo, CoinEx, HitBTC"
405,Ardor ARDR,$0.06,$60.38 M,$60.85 M,,"HTX, Upbit, ProBit, Poloniex, CoinEx, HitBTC"
408,LeverFi LEVER,$0.0017,$59.75 M,$64.27 M,Ethereum,
409,Ergo ERG,$0.765,$58.76 M,$75.39 M,,"ProBit, BitMart, CoinEx, HitBTC"
410,UQUID UQC,$5.87,$58.73 M,$236.06 M,,
411,Secret Network SCRT,$0.2036,$58.3 M,$63.44 M,Cosmos,"Binance, HTX, Bybit, KuCoin, Kraken, MEXC, Gate.io, CoinEx, HitBTC"
412,Acala ACA,$0.056,$58.21 M,$63.91 M,Polkadot,"LBank, BingX, BitMart, Bitrue, Tokocrypto, Bitvavo, BIGONE, CoinEx"
413,BIFROST BFC,$0.041,$57.9 M,$107.93 M,,
414,Loot AGLD,$0.7436,$57.48 M,$57.81 M,Ethereum,"FameEX, CoinEx, HitBTC, BTSE"
415,Nakamoto Games NAKA,$0.8746,$56.97 M,$158.87 M,"Polygon, BNB Chain","BingX, BitMart, Bitrue, Poloniex, CoinEx"
415,Access Protocol ACS,$0.0015,$57.06 M,$141.12 M,"Solana, Polygon, (soon), StarkNet, (soon)",
417,Alethea AI ALI,$0.0091,$56.82 M,$91.26 M,,CoinEx
417,Trias TRIAS,$5.66,$56.41 M,$68.58 M,,CoinEx
419,Shadow SHDW,$0.3475,$56.04 M,$58.76 M,,CoinEx
420,Railgun RAIL,$0.9712,$55.88 M,$56.68 M,"Ethereum, Solana",
421,Humanscape HUM,$0.054,$55.83 M,$59.12 M,,Coinone
422,WazirX WRX,$0.1218,$55.66 M,$121.97 M,,"Binance, Bitrue, Poloniex, Tokocrypto"
422,Verge XVG,$0.0033,$55.86 M,$57.38 M,,"BingX, BitMart"
424,HUNT HUNT,$0.2821,$56.17 M,$55.37 M,,
425,Defily DFL,$0.9967,$55.41 M,$182.1 M,,SushiSwap
426,Frontier FRONT,$0.6232,$54.76 M,$57.11 M,,
427,GameBuild GAME,$0.0034,$55.11 M,$81.34 M,Ethereum,
428,MANEKI MANEKI,$0.0061,$54 M,$77.68 M,Solana,"HTX, Bitget, KuCoin, MEXC"
429,QuarkChain QKC,$0.0077,$54.26 M,$79.2 M,,"Bitget, Upbit, KuCoin, MEXC"
430,Renzo Protocol REZ,$0.047,$54.48 M,$614.31 M,"Ethereum, Arbitrum, Base, Mode",
431,Clearpool CPOOL,$0.089,$53.79 M,$92.38 M,"Ethereum, Polygon, Optimism, Polygon zkEVM, Mantle, Berachain, (soon)","LATOKEN, BingX, AscendEX, CoinEx, HitBTC"
432,TOSHI TOSHI,$0.00012,$53.46 M,$72.55 M,Base,CoinEx
433,Dinero DINERO,$0.1216,$53.37 M,$193.22 M,Ethereum,
434,Pangolin PNG,$0.2435,$53.35 M,$132.45 M,"Polygon, Avalanche, Near, Fantom, Flare Network",CoinEx
434,Velodrome Finance VELO,$0.07,$53.37 M,$126.7 M,Optimism,
436,Keep Network KEEP,$0.096,$53.06 M,$96.9 M,,
436,IX Swap IXS,$0.3001,$53.12 M,$53.27 M,"Ethereum, Polygon","Poloniex, CoinEx, BTSE"
438,Radicle RAD,$1.06,$52.95 M,$108.14 M,Ethereum,
439,Badger DAO BADGER,$2.63,$52.38 M,$56.18 M,,"Crypto.com, Gate.io"
440,Spacemesh SMH,$1,$52.08 M,$53.01 M,,XT.COM
441,GamerHash GHX,$0.082,$51.53 M,$85.09 M,"Ethereum, BNB Chain","Bitget, KuCoin, MEXC, Gate.io, XT.COM, CoinEx"
442,Humans.ai HEART,$0.0092,$51.78 M,$72.47 M,"Hedera, (soon), Cosmos, (soon)","KuCoin, MEXC"
443,RACA RACA,$0.00014,$51.53 M,$70.02 M,BNB Chain,"LATOKEN, LBank, BingX, BitMart, Bitrue, Poloniex, FameEX, CoinEx"
444,Wojak WOJAK,$0.00073,$51.12 M,$69.29 M,Ethereum,"HTX, Bitget, MEXC"
445,Dione Protocol DIONE,$0.0053,$50.66 M,$67.37 M,,
447,LUKSO LYX,$1.65,$50.14 M,$69.1 M,,
448,CoW Protocol COW,$0.2106,$49.94 M,$212.2 M,"Ethereum, Gnosis Chain",
448,Whiteheart WHITE,"$5,642.62",$50.15 M,$49.67 M,Ethereum,
449,Unizen ZCX,$0.071,$49.25 M,$67.35 M,,
449,pSTAKE Finance PSTAKE,$0.1033,$49.41 M,$54.03 M,"Ethereum, BNB Chain, Base, Cosmos, Osmosis, Blast, Babylon",
450,Stella ALPHA,$0.055,$49.15 M,$55.66 M,"Ethereum, BNB Chain, Avalanche, Arbitrum","Binance, OKX, Bitget, Bybit, KuCoin, Kraken, Bitstamp, MEXC, Crypto.com, Gate.io, PancakeSwap, TraderJoe, SushiSwap, XT.COM, LATOKEN, BingX, Phemex, Toolbit, Coinone, Bitrue, Poloniex, Bitkub, Tokocrypto, Bitvavo, FameEX, CoinEx, HitBTC"
450,NKN NKN,$0.064,$49.71 M,$50.31 M,,"Bilaxy, CoinEx"
451,AllianceBlock NXRA,$0.063,$49.68 M,$53.34 M,"Ethereum, Polygon, BNB Chain, Avalanche",
453,Ribbon Finance RBN,$0.375,$49.41 M,$375 M,"Ethereum, Solana, Avalanche, Base, (soon)",
454,Polymath POLY,$0.054,$49.08 M,$54.94 M,Ethereum,
456,Bit2Me B2M,$0.0099,$48.86 M,$50.1 M,,
457,QANplatform QANX,$0.028,$48.73 M,$60.41 M,,
458,Origyn OGY,$0.0061,$48.54 M,$64.83 M,Internet Computer,
460,Cream Finance CREAM,$29.6,$48.29 M,$87.72 M,"Ethereum, Polygon, BNB Chain, Arbitrum","SushiSwap, LATOKEN, BingX"
461,DEGEN DEGEN,$0.0038,$48.05 M,$180.28 M,Base,
462,SuperRare RARE,$0.069,$48.09 M,$70.51 M,"Bitcoin, Ethereum","Binance, Coinbase, Bitget, Kraken, MEXC, Crypto.com, Gate.io, CoinEx"
463,Aavegotchi GHST,$0.9388,$48.03 M,$49.83 M,"Ethereum, Polygon","CoinEx, HitBTC"
464,My Pet Hooligan KARRAT,$0.4533,$48.52 M,$453.35 M,,"Coinbase, KuCoin, MEXC, Crypto.com, Gate.io, Uniswap, OpenOcean, XT.COM, BingX, CoinEx"
464,Victoria VR VR,$0.0068,$47.26 M,$116.97 M,,"Gate.io, CoinEx"
465,Origin Protocol OGN,$0.078,$47.45 M,$113.04 M,Ethereum,"Crypto.com, Gate.io, ProBit, LATOKEN, BingX, BitMart, WhiteBIT, Coinone, Bitrue, Poloniex, Tokocrypto, Bitvavo"
466,Zano ZANO,$3.29,$47.25 M,$51.95 M,,
467,Tensor TNSR,$0.3786,$47.32 M,$378.61 M,Solana,
469,MOBOX MBOX,$0.1677,$46.68 M,$81.69 M,"BNB Chain, Arbitrum, Optimism","HTX, Bitget, Bybit, MEXC, Gate.io, LATOKEN, LBank, BingX"
470,Pirate Nation PIRATE,$0.2151,$46.71 M,$270.27 M,Arbitrum,"Coinbase, Bitget, Bybit"
471,HECO Chain HT,$0.3857,$62.57 M,$192.85 M,,"Gate.io, Uniswap, LBank, Poloniex, HitBTC"
471,Sweatcoin SWEAT,$0.0058,$46.42 M,$127.66 M,Near,"HTX, Bitget, Bybit, KuCoin, Bitfinex, MEXC"
472,Myria MYRIA,$0.0021,$46.47 M,$107.31 M,Ethereum,
473,Autonolas OLAS,$1.02,$46.24 M,$559.09 M,"Ethereum, Polygon, Solana, Gnosis Chain","Orca, Jupiter, CoinEx"
474,Elastos ELA,$2.09,$46.29 M,$53.86 M,,"Coinbase, CoinEx"
475,Bitget Wallet BWB,$0.3504,$47.27 M,$350.42 M,,"Bitget, Raydium, Jupiter"
475,Bitcoin Wizards WZRD,$2.2,$46.34 M,$46.34 M,Bitcoin,"AscendEX, Poloniex, CoinEx"
476,Persistence XPRT,$0.2164,$45.5 M,$45.46 M,Cosmos,CoinEx
477,Cobak CBK,$0.5206,$44.87 M,$52.53 M,,
478,Heroes of Mavia MAVIA,$1.42,$44.69 M,$370.51 M,Ethereum,
479,Gelato Network GEL,$0.1809,$44.29 M,$77.49 M,"Ethereum, Aurora, Moonbeam","MEXC, Crypto.com, Gate.io, LATOKEN, CoinEx"
480,DEXTools DEXT,$0.5125,$43.85 M,$65.74 M,"Ethereum, BNB Chain, Solana, Avalanche, Arbitrum, Optimism, Fantom, Celo, Harmony, Aurora, Cronos, Metis, Oasis, Telos, IoTeX, Evmos, Astar, Moonriver, Moonbeam, Milkomeda, KCC, OKC, HECO, Velas","Bilaxy, CoinEx"
481,MAP Protocol MAPO,$0.009,$43.54 M,$87.96 M,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Base, ZkSync, Linea, Near, Fantom, Scroll, Conflux, Klaytn, Tron, Blast, Mantle, Merlin Chain",
483,Tectum TET,$5.92,$43.5 M,$60.5 M,,XT.COM
483,Enzyme MLN,$16.1,$42.95 M,$42.99 M,Ethereum,"Binance, Coinbase, OKX, HTX, Kraken, Bitfinex, Crypto.com, Gate.io, LATOKEN, BingX, WhiteBIT, Phemex, Bitrue, Poloniex, Tokocrypto, Bitvavo, CoinEx, HitBTC"
484,StaFi FIS,$0.2986,$43.45 M,$43.73 M,"Ethereum, Polygon, BNB Chain, Solana, Cosmos, Polkadot, Kusama",
485,REI Network REI,$0.044,$43.22 M,$44.85 M,,
486,LTO Network LTO,$0.1002,$43.13 M,$43.95 M,,"LATOKEN, BitMart"
488,Virtuals Protocol VIRTUAL,$0.043,$43.08 M,$44.5 M,Base,
488,Virtual Protocol VIRTUAL,$0.043,$43.08 M,$43.16 M,"Ethereum, Base","Bitget, MEXC, Gate.io, XT.COM, BingX, BitMart"
491,Seamless Protocol SEAM,$2.09,$42.63 M,$241.16 M,Base,CoinEx
492,Metadium META,$0.024,$42.15 M,$49.87 M,,
493,Electroneum ETN,$0.0023,$42.39 M,$49.88 M,,"Coinstore, CoinEx, HitBTC"
493,Kujira KUJI,$0.3385,$41.6 M,$42.67 M,Cosmos,
494,MovieBloc MBL,$0.0023,$41.87 M,$71.02 M,,"Binance, Coinone, Tokocrypto"
495,Peapods Finance PEAS,$4.2,$41.9 M,$51.59 M,Ethereum,
496,Bitgert BRISE,$0.0000001,$41.75 M,$45.14 M,,"XT.COM, Deepcoin, LATOKEN, BingX, BitMart, CoinEx"
497,Beta Finance BETA,$0.05,$41.63 M,$51.19 M,"Ethereum, Avalanche",
498,Gitcoin GTC,$0.6802,$41.38 M,$68.6 M,"Ethereum, ZkSync","Bitget, Upbit, KuCoin, Kraken"
499,Alien Worlds TLM,$0.0093,$41.16 M,$60.81 M,,"FameEX, CoinEx, HitBTC"
500,Dynex DNX,$0.4381,$41.03 M,$46.6 M,,"MEXC, Gate.io, XT.COM, CoinEx"
501,Sologenic SOLO,$0.1099,$43.83 M,$43.21 M,XRP Ledger,"Bitrue, Poloniex, CoinEx"
501,CLV CLV,$0.04,$40.88 M,$41.51 M,Polkadot,"Coinlist, CoinEx"
502,Magpie MGP,$0.1051,$40.87 M,$124.97 M,"BNB Chain, Arbitrum",
503,Swarm SMT,$0.5011,$40.16 M,$101.28 M,,BingX
504,VaultCraft VCX,$0.053,$39.99 M,$49.31 M,"Ethereum, Polygon, Arbitrum, Optimism",
505,CargoX CXO,$0.2389,$39.97 M,$51.42 M,,
506,Orchid Protocol OXT,$0.067,$39.65 M,$67.41 M,Ethereum,"XT.COM, LATOKEN, BingX, WhiteBIT"
507,Chainflip FLIP,$1.23,$39.53 M,$116.6 M,"Bitcoin, (soon), Ethereum, (soon), Solana, (soon), Cosmos, (soon), Polkadot, (soon)",
508,Save SLND,$0.97,$39.18 M,$99.24 M,Solana,"Raydium, Orca, Jupiter"
509,Ethernity ERN,$1.81,$39.01 M,$54.53 M,,"QuickSwap, XT.COM, Phemex, Coinone, Bitrue, Tokocrypto, Bitvavo, Bilaxy, CoinEx"
510,Automata Network ATA,$0.074,$38.49 M,$76.61 M,,"SushiSwap, XT.COM"
511,Lumia ORN,$1.12,$38.54 M,$113.73 M,"Ethereum, Polygon, BNB Chain, Fantom",
512,Meld MELD,$0.01,$38.37 M,$40.28 M,Cardano,
513,Maverick Protocol MAV,$0.1531,$38.3 M,$314.16 M,"Ethereum, BNB Chain, Base, ZkSync",
514,Cortex CTXC,$0.1698,$37.78 M,$52.02 M,,
515,Canto CANTO,$0.061,$37.48 M,$62.37 M,Cosmos,CoinEx
516,LooksRare LOOKS,$0.037,$37.38 M,$37.39 M,Ethereum,
517,Ren REN,$0.037,$37.4 M,$38.2 M,"Ethereum, Polygon, Solana, Arbitrum, Optimism, Fantom, Kava, Moonbeam","MEXC, Gate.io, ProBit, LATOKEN, LBank, BingX, BitMart, WhiteBIT"
518,Decubate DCB,$0.039,$37.3 M,$39.29 M,BNB Chain,
520,DIMO DIMO,$0.1582,$37.21 M,$161.57 M,Polygon,
521,Tokemak TOKE,$0.8087,$36.97 M,$81.21 M,Ethereum,
522,Aergo AERGO,$0.083,$37 M,$42.35 M,,
523,Ultiverse ULTI,$0.021,$36.81 M,$217.81 M,,"OKX, Bitget, Bybit, KuCoin, MEXC, Gate.io, XT.COM, LBank, BitMart, Phemex, AscendEX, Bitrue, CoinEx"
523,Hector Network HEC,$0.086,$36.91 M,$48.17 M,"Ethereum, BNB Chain, Fantom",
523,zkRace ZERC,$0.1083,$37.19 M,$37.19 M,BNB Chain,"Bilaxy, CoinEx"
524,Sanko GameCorp DMT,$59.89,$36.08 M,$82.94 M,Arbitrum,
526,Boson Protocol BOSON,$0.2785,$36.69 M,$55.79 M,,
527,DeGate DG,$0.094,$36.71 M,$93.23 M,Ethereum,
528,Perpetual Protocol PERP,$0.5046,$36.67 M,$76.3 M,"Ethereum, Optimism",
529,Agoric BLD,$0.054,$36.15 M,$57.08 M,"Cosmos, (soon)","Coinlist, CoinEx"
530,MathWallet MATH,$0.2026,$35.71 M,$40.56 M,,CoinEx
531,DIA DIA,$0.3225,$35.74 M,$55.2 M,"Ethereum, Polygon, BNB Chain, Solana, Avalanche, Arbitrum, Optimism, Base, ZkSync, Linea, Fantom, Celo, Boba, Aurora, Metis, Fuse, Telos, Conflux, Polygon zkEVM, Evmos, Polkadot, Acala, Astar, Moonriver, Moonbeam, CLV, Shiden, OKC, Velas, BOB, Nervos, Neon, Aleph Zero, Wanchain, Vara",CoinEx
532,ThunderCore TT,$0.0031,$35 M,$35.46 M,,CoinEx
533,ARPA ARPA,$0.035,$35 M,$71.42 M,,"LATOKEN, LBank, BingX, BitMart, WhiteBIT, Toolbit, Coinone, Bitrue, Tokocrypto, Bitvavo, FameEX, CoinEx, HitBTC"
534,Contentos COS,$0.0066,$34.59 M,$66.09 M,,"Binance, Phemex, Coinone, Bitrue, Tokocrypto, Bitvavo, CoinEx"
534,Dimitra DMTR,$0.068,$34.98 M,$44.02 M,,CoinEx
535,Blockchain Foundation for Innovation & Collaboration BFIC,$3.26,$34.57 M,$68.63 M,,
537,VitaDAO VITA,$1.32,$34.23 M,$35.45 M,Ethereum,
538,THORSwap THOR,$0.1871,$34.43 M,$75.86 M,"Bitcoin, Ethereum, BNB Chain, Avalanche, THORChain, Cosmos, Litecoin",CoinEx
539,RichQuack QUACK,$0.00000000075,$33.72 M,$76.25 M,,
539,Opulous OPUL,$0.073,$33.54 M,$37.03 M,Algorand,"AscendEX, CoinEx"
541,Litentry LIT,$0.5917,$33.64 M,$62.37 M,Polkadot,
542,Chainge Finance CHNG,$0.067,$33.49 M,$91.57 M,Fusion,
543,FUNToken FUN,$0.0031,$33.2 M,$34.54 M,Ethereum,"LATOKEN, BitMart, Bitrue, HitBTC, BTSE"
544,Concordium CCD,$0.0034,$33.12 M,$45.39 M,,
546,SNS FIDA,$0.2249,$32.9 M,$230.29 M,Solana,
546,Coinweb CWEB,$0.0064,$32.9 M,$49.21 M,,
547,Miracle Play MPT,$0.06,$32.74 M,$36.79 M,Polygon,
548,Guild of Guardians GOG,$0.053,$32.79 M,$53.31 M,Immutable X,"Coinlist, CoinEx"
549,Komodo KMD,$0.2321,$32.51 M,$46.92 M,,"CoinEx, HitBTC"
550,Alchemix ALCX,$14.22,$32.35 M,$42.37 M,"Ethereum, Arbitrum, Optimism, Fantom","Crypto.com, Gate.io, LATOKEN, BingX, Phemex, Toolbit, Bitrue, Tokocrypto"
551,Sanctum CLOUD,$0.1793,$32.24 M,$212.03 M,Solana,"Bitget, Bybit, Kraken"
553,Flamingo FLM,$0.052,$31.95 M,$32.49 M,NEO,
554,Matr1x FIRE,$0.9129,$31.9 M,$159.77 M,Polygon,
556,Samoyedcoin SAMO,$0.0075,$31.71 M,$36.26 M,Solana,
556,Pirate Chain ARRR,$0.1629,$32.04 M,$32.7 M,,CoinEx
557,SHRAPNEL SHRAP,$0.046,$31.88 M,$146.08 M,Avalanche,
557,Aura Finance AURA,$0.6456,$32.05 M,$47.42 M,"Ethereum, Optimism, Gnosis Chain",CoinEx
558,PlayDapp PLA,$0.053,$31.7 M,$38.1 M,"Ethereum, Polygon","Binance, XT.COM, LATOKEN, BingX"
559,Kishu Inu KISHU,$0.00000000032,$31.52 M,$38.51 M,Ethereum,"LATOKEN, LBank, BitMart, Poloniex, BIGONE, Bilaxy, CoinEx"
560,Ampleforth FORTH,$2.78,$31.44 M,$43.25 M,"Ethereum, BNB Chain, Avalanche","Binance, Coinbase, OKX, HTX, KuCoin, Kraken, Bitfinex, MEXC, Crypto.com, Gate.io, XT.COM, Bitrue, Tokocrypto, Bitvavo, CoinEx, HitBTC"
561,Rally RLY,$0.0062,$31.41 M,$107.04 M,Ethereum,
561,StrikeX STRX,$0.037,$31.42 M,$33.31 M,,
563,OMG Network OMG,$0.2196,$30.69 M,$36.83 M,Ethereum,"HTX, Bitget, Bybit, KuCoin, Kraken, Bitfinex, ProBit, Deepcoin, LATOKEN, BingX, WhiteBIT, Bitso, FameEX, CoinEx, HitBTC, BTSE"
564,Groestlcoin GRS,$0.3602,$30.95 M,$37.92 M,,CoinEx
565,Sovryn SOV,$0.4813,$30.85 M,$48.07 M,,
566,Wanchain WAN,$0.1552,$30.76 M,$33.2 M,,"HTX, KuCoin"
569,Commune AI COMAI,$0.256,$30.01 M,$314.85 M,,
569,SX Network SX,$0.063,$30.54 M,$63.41 M,Polygon,Bitrue
570,Quasar Finance QSR,$0.052,$30.2 M,$34.62 M,Cosmos,
571,Strike STRK,$5.75,$30.08 M,$37.68 M,Ethereum,
572,AscendEX ASD,$0.04,$29.96 M,$30.07 M,,"Gate.io, AscendEX"
573,Linear Finance LINA,$0.0046,$30.11 M,$46.93 M,BNB Chain,
574,TempleDAO TEMPLE,$1.22,$29.89 M,$29.95 M,Ethereum,
