Name,Tag,Ecology,Hyperlink
L7 DEXLSD,DeFi、Derivatives、Perp,BNB Chain,https://www.rootdata.com/Projects/detail/L7%20DEX?k=OTEwMA%3D%3D
Buff Network,DeFi、Derivatives,"BNB Chain, Arbitrum, Sui",https://www.rootdata.com/Projects/detail/Buff%20Network?k=OTA5OQ%3D%3D
InfinetX,Infra、Social、DID,None,https://www.rootdata.com/Projects/detail/InfinetX?k=OTA5Nw%3D%3D
RESE,Social、Crypto Education,ZkSync,https://www.rootdata.com/Projects/detail/RESE?k=OTA4Ng%3D%3D
Swapline,DeFi、DEX,"Arbitrum, Optimism, Base",https://www.rootdata.com/Projects/detail/Swapline?k=OTA3NA%3D%3D
AerodromeAERO,DeFi、DEX、Lending,Base,https://www.rootdata.com/Projects/detail/Aerodrome?k=OTA3Mw%3D%3D
Synthswap,DeFi、DEX,Base,https://www.rootdata.com/Projects/detail/Synthswap?k=OTA2Ng%3D%3D
KartParty,Gaming、Racing Games,Ethereum,https://www.rootdata.com/Projects/detail/KartParty?k=OTA2Mw%3D%3D
MerakiSwap,DeFi、DEX,opBNB,https://www.rootdata.com/Projects/detail/MerakiSwap?k=OTA2Mg%3D%3D
Raccoon Finance,DeFi、Yield aggregator,Base,https://www.rootdata.com/Projects/detail/Raccoon%20Finance?k=OTA2MQ%3D%3D
MEKE,DeFi、Derivatives、Perp,opBNB,https://www.rootdata.com/Projects/detail/MEKE?k=OTA1OQ%3D%3D
Alternity Protocol,DeFi、Lending,Ethereum,https://www.rootdata.com/Projects/detail/Alternity%20Protocol?k=OTA1MQ%3D%3D
Meuna,DeFi、RWA,opBNB,https://www.rootdata.com/Projects/detail/Meuna?k=OTA0Nw%3D%3D
GND Protocol,DeFi、Yield optimizer,Arbitrum,https://www.rootdata.com/Projects/detail/GND%20Protocol?k=OTA0NQ%3D%3D
TruFin,DeFi、Derivatives,Polygon,https://www.rootdata.com/Projects/detail/TruFin?k=OTA0NA%3D%3D
PixelSwap,DeFi、DEX,"Arbitrum, Base, ZkSync",https://www.rootdata.com/Projects/detail/PixelSwap?k=OTA0Mw%3D%3D
BinarySwap,DeFi、DEX,opBNB,https://www.rootdata.com/Projects/detail/BinarySwap?k=OTA0Mg%3D%3D
Zena Finance,DeFi、DEX,opBNB,https://www.rootdata.com/Projects/detail/Zena%20Finance?k=OTA0MQ%3D%3D
Vooi,DeFi、DEX,"Arbitrum, Optimism, Base",https://www.rootdata.com/Projects/detail/Vooi?k=OTA0MA%3D%3D
OpenName,Name Service、Layerzero Ecosystem,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/OpenName?k=OTAzNQ%3D%3D
SoulHub,NFT、SBT,"Ethereum, Polygon, Astar",https://www.rootdata.com/Projects/detail/SoulHub?k=OTAzNA%3D%3D
Ohayo AI,Social、AI,"Polygon, BNB Chain, Astar",https://www.rootdata.com/Projects/detail/Ohayo%20AI?k=OTAzMw%3D%3D
Achainable,Tools、Data & Analysis,None,https://www.rootdata.com/Projects/detail/Achainable?k=OTAyOQ%3D%3D
Doubler,DeFi、Derivatives,Arbitrum,https://www.rootdata.com/Projects/detail/Doubler?k=OTAyNg%3D%3D
Scamfari,Security Solutions,"Ethereum, Polygon, Avalanche",https://www.rootdata.com/Projects/detail/Scamfari?k=OTAyNQ%3D%3D
ArchiSwap,DeFi、DEX,ZkSync,https://www.rootdata.com/Projects/detail/ArchiSwap?k=OTAxOA%3D%3D
DCNTRL Network,DeFi、Stablecoin Protocol,BNB Chain,https://www.rootdata.com/Projects/detail/DCNTRL%20Network?k=OTAxNQ%3D%3D
EvolvNFT,NFT、NFT marketplace,Archway,https://www.rootdata.com/Projects/detail/EvolvNFT?k=OTAwMg%3D%3D
PeerSwap,DeFi、OTC,Archway,https://www.rootdata.com/Projects/detail/PeerSwap?k=OTAwMQ%3D%3D
ArchID,Infra、DID、Name Service,Archway,https://www.rootdata.com/Projects/detail/ArchID?k=OTAwMA%3D%3D
BonusBlockBONUS,Tools、Task Platform,Arbitrum,https://www.rootdata.com/Projects/detail/BonusBlock?k=ODk5Nw%3D%3D
M2MMX,CeFi、CEX,None,https://www.rootdata.com/Projects/detail/M2?k=ODk4Nw%3D%3D
SuperScalar,Mining industry、zk,None,https://www.rootdata.com/Projects/detail/SuperScalar?k=ODk4NA%3D%3D
Kinetix Finance,DeFi、Derivatives、Perp,Kava,https://www.rootdata.com/Projects/detail/Kinetix%20Finance?k=ODk3MQ%3D%3D
Nexera,DeFi、DEX、OrderBook DEX,Arbitrum,https://www.rootdata.com/Projects/detail/Nexera?k=ODk2OQ%3D%3D
RocketSwap,DeFi、DEX,Base,https://www.rootdata.com/Projects/detail/RocketSwap?k=ODk2Nw%3D%3D
TierTopDOTS,BRC-20、NFT、NFT marketplace、Ordinals,Bitcoin,https://www.rootdata.com/Projects/detail/TierTop?k=ODk2MA%3D%3D
Vistara,Infra、Modular,None,https://www.rootdata.com/Projects/detail/Vistara?k=ODk1Nw%3D%3D
Logarithm Finance,DeFi、Derivatives,Arbitrum,https://www.rootdata.com/Projects/detail/Logarithm%20Finance?k=ODk1Ng%3D%3D
Good Entry,DeFi、Derivatives,Arbitrum,https://www.rootdata.com/Projects/detail/Good%20Entry?k=ODk1NQ%3D%3D
MailZero,Infra、Cross-Chain Communication,ZkSync,https://www.rootdata.com/Projects/detail/MailZero?k=ODk1Mw%3D%3D
Eddy Finance,DeFi、DEX、Cross-Chain Aggregation DEX,ZetaChain,https://www.rootdata.com/Projects/detail/Eddy%20Finance?k=ODk1Mg%3D%3D
eeseeESE,NFT、NFT marketplace,Blast,https://www.rootdata.com/Projects/detail/eesee?k=ODk0OA%3D%3D
Silky Finance,DeFi、DEX,ZkSync,https://www.rootdata.com/Projects/detail/Silky%20Finance?k=ODk0Ng%3D%3D
DappGate,Cross-chain Bridge,None,https://www.rootdata.com/Projects/detail/DappGate?k=ODk0NQ%3D%3D
XRDNA,Infra、Metaverse,None,https://www.rootdata.com/Projects/detail/XRDNA?k=ODk0NA%3D%3D
Protocol Cha,DeFi,None,https://www.rootdata.com/Projects/detail/Protocol%20Cha?k=ODk0Mw%3D%3D
HaloTrade,DeFi、DEX,None,https://www.rootdata.com/Projects/detail/HaloTrade?k=ODk0MA%3D%3D
D3X,DeFi、Derivatives、Perp,None,https://www.rootdata.com/Projects/detail/D3X?k=ODkzOQ%3D%3D
Friend.techFRIEND,Social、Creator Economy,Base,https://www.rootdata.com/Projects/detail/Friend.tech?k=ODkzNw%3D%3D
vDEX,DeFi、Derivatives、Options、Perp,"Solana, ZkSync",https://www.rootdata.com/Projects/detail/vDEX?k=ODkzNg%3D%3D
Accumulated Finance,DeFi、LSD,"Ethereum, Arbitrum, ZetaChain",https://www.rootdata.com/Projects/detail/Accumulated%20Finance?k=ODkzMg%3D%3D
BubbleAI,Tools、AI,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/BubbleAI?k=ODkzMA%3D%3D
SubMusic,Creator Economy、Music,None,https://www.rootdata.com/Projects/detail/SubMusic?k=ODkyNQ%3D%3D
Gas Hero,Gaming,Polygon,https://www.rootdata.com/Projects/detail/Gas%20Hero?k=ODkyNA%3D%3D
Cantina,Security Solutions,None,https://www.rootdata.com/Projects/detail/Cantina?k=ODkyMg%3D%3D
Qrolli,Social、Creator Economy,None,https://www.rootdata.com/Projects/detail/Qrolli?k=ODkxNw%3D%3D
Crossify,Payments,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/Crossify?k=ODkxNA%3D%3D
ModeMODE,Infra、Layer2,Ethereum,https://www.rootdata.com/Projects/detail/Mode?k=ODkwOQ%3D%3D
FarQuest,Gaming,Ethereum,https://www.rootdata.com/Projects/detail/FarQuest?k=ODkwNA%3D%3D
Drive To EarnDTE,Infra、IOT、DePIN,None,https://www.rootdata.com/Projects/detail/Drive%20To%20Earn?k=ODkwMQ%3D%3D
Unlock,DeFi、Yield optimizer,"Ethereum, BNB Chain, ZkSync",https://www.rootdata.com/Projects/detail/Unlock?k=ODkwMA%3D%3D
SenecaSEN,DeFi、Lending,"Ethereum, Arbitrum",https://www.rootdata.com/Projects/detail/Seneca?k=ODg4Ng%3D%3D
Communities ID,Infra、DID,ZkSync,https://www.rootdata.com/Projects/detail/Communities%20ID?k=ODg4NA%3D%3D
Goldlink,DeFi、Lending,Arbitrum,https://www.rootdata.com/Projects/detail/Goldlink?k=ODg4Mw%3D%3D
Xname,Ordinals、Name Service,Bitcoin,https://www.rootdata.com/Projects/detail/Xname?k=ODg3OQ%3D%3D
BaseSwapBSWAP,DeFi、DEX,Base,https://www.rootdata.com/Projects/detail/BaseSwap?k=ODg2Mw%3D%3D
Moonbox,NFT、AI,None,https://www.rootdata.com/Projects/detail/Moonbox?k=ODg2Mg%3D%3D
Renkin,NFT、NFT Lending,Ethereum,https://www.rootdata.com/Projects/detail/Renkin?k=ODg2MQ%3D%3D
Swirl,DeFi、Lending,"Base, Linea",https://www.rootdata.com/Projects/detail/Swirl?k=ODg2MA%3D%3D
Hopscotch,Payments,None,https://www.rootdata.com/Projects/detail/Hopscotch?k=ODg1OQ%3D%3D
Surge,DeFi、Lending,None,https://www.rootdata.com/Projects/detail/Surge?k=ODg1Nw%3D%3D
Kinto,Infra、Layer2,None,https://www.rootdata.com/Projects/detail/Kinto?k=ODg1Ng%3D%3D
DackieSwap,DeFi、DEX,Base,https://www.rootdata.com/Projects/detail/DackieSwap?k=ODg1NA%3D%3D
Bitrace,Tools、Data & Analysis、On-Chain Investigation,None,https://www.rootdata.com/Projects/detail/Bitrace?k=ODg1MQ%3D%3D
Essential,DeFi、Intent、MEV,None,https://www.rootdata.com/Projects/detail/Essential?k=ODg0OQ%3D%3D
CloudBase,DeFi、DEX,"Optimism, Base",https://www.rootdata.com/Projects/detail/CloudBase?k=ODg0NQ%3D%3D
3DNS,Name Service,Optimism,https://www.rootdata.com/Projects/detail/3DNS?k=ODg0NA%3D%3D
Wreck League,Gaming,Ethereum,https://www.rootdata.com/Projects/detail/Wreck%20League?k=ODg0MQ%3D%3D
Stork,Infra、Oracle,"StarkNet, Aptos, Sui",https://www.rootdata.com/Projects/detail/Stork?k=ODgzNw%3D%3D
Axly,DeFi、Leveraged Yield Farming,Waves,https://www.rootdata.com/Projects/detail/Axly?k=ODgzNg%3D%3D
PFP DAO,Gaming、Creator Economy,Polygon,https://www.rootdata.com/Projects/detail/PFP%20DAO?k=ODgzNA%3D%3D
NEATNEAT,Ordinals,Near,https://www.rootdata.com/Projects/detail/NEAT?k=ODgzMw%3D%3D
Velar,DeFi、DEX、Launchpad,Stacks,https://www.rootdata.com/Projects/detail/Velar?k=ODgzMQ%3D%3D
Wapal,NFT、NFT marketplace、Launchpad,Aptos,https://www.rootdata.com/Projects/detail/Wapal?k=ODgyNg%3D%3D
SwapGPT,DeFi、DEX、DEX Aggregator,Aptos,https://www.rootdata.com/Projects/detail/SwapGPT?k=ODgyNQ%3D%3D
SendInAirWAR,Gaming,Aptos,https://www.rootdata.com/Projects/detail/SendInAir?k=ODgyNA%3D%3D
MoveFlow,Streaming Payment,Aptos,https://www.rootdata.com/Projects/detail/MoveFlow?k=ODgyMw%3D%3D
ArmurAI,Security Solutions,None,https://www.rootdata.com/Projects/detail/ArmurAI?k=ODgyMQ%3D%3D
Etch Market,NFT、NFT marketplace,Ethereum,https://www.rootdata.com/Projects/detail/Etch%20Market?k=ODgxNw%3D%3D
Launchpad.xyz,Tools,None,https://www.rootdata.com/Projects/detail/Launchpad.xyz?k=ODgxMg%3D%3D
Samos,Gaming、Game Platforms,None,https://www.rootdata.com/Projects/detail/Samos?k=ODgwOQ%3D%3D
H3 Entertainment,Creator Economy、Entertainment,None,https://www.rootdata.com/Projects/detail/H3%20Entertainment?k=ODgwOA%3D%3D
Ryze.Fi,DeFi、Derivatives、Options,Arbitrum,https://www.rootdata.com/Projects/detail/Ryze.Fi?k=ODc4OQ%3D%3D
Block Analitica,Tools、Data & Analysis,None,https://www.rootdata.com/Projects/detail/Block%20Analitica?k=ODc4OA%3D%3D
CrescentSwapMNLT,DeFi、DEX,"Arbitrum, Base",https://www.rootdata.com/Projects/detail/CrescentSwap?k=ODc4Nw%3D%3D
DogeWalk,Social、Gaming,BNB Chain,https://www.rootdata.com/Projects/detail/DogeWalk?k=ODc4Ng%3D%3D
Hydro ProtocolHDRO,DeFi、LSD,Injective,https://www.rootdata.com/Projects/detail/Hydro%20Protocol?k=ODc4NQ%3D%3D
Gas.zip,Tools,"Ethereum, Avalanche, Arbitrum",https://www.rootdata.com/Projects/detail/Gas.zip?k=ODc4MA%3D%3D
Contrast Finance,DeFi、Derivatives、Options,Arbitrum,https://www.rootdata.com/Projects/detail/Contrast%20Finance?k=ODc3OA%3D%3D
Velo Data,Tools、Data & Analysis、Market Data,None,https://www.rootdata.com/Projects/detail/Velo%20Data?k=ODc3NA%3D%3D
Pira Finance,DeFi、DEX,Base,https://www.rootdata.com/Projects/detail/Pira%20Finance?k=ODc3MQ%3D%3D
Radpie,DeFi、Yield optimizer,"BNB Chain, Arbitrum",https://www.rootdata.com/Projects/detail/Radpie?k=ODc3MA%3D%3D
Kontos,Infra、Layer2、Account Abstraction,None,https://www.rootdata.com/Projects/detail/Kontos?k=ODc2OA%3D%3D
MatrixDock,DeFi、RWA,None,https://www.rootdata.com/Projects/detail/MatrixDock?k=ODc2MQ%3D%3D
Lita,Infra、Dev Platform,None,https://www.rootdata.com/Projects/detail/Lita?k=ODc2MA%3D%3D
Ekubo Protocol,DeFi、DEX,StarkNet,https://www.rootdata.com/Projects/detail/Ekubo%20Protocol?k=ODc0OQ%3D%3D
Ionic,DeFi、Lending,Mode,https://www.rootdata.com/Projects/detail/Ionic?k=ODc0NA%3D%3D
LendleLEND,DeFi、Lending,Mantle,https://www.rootdata.com/Projects/detail/Lendle?k=ODc0MA%3D%3D
Sleek Wallet,Infra、Wallet、Account Abstraction,None,https://www.rootdata.com/Projects/detail/Sleek%20Wallet?k=ODczOQ%3D%3D
NFTures,NFT、NFTFi、NFT Derivatives,"Ethereum, Polygon zkEVM",https://www.rootdata.com/Projects/detail/NFTures?k=ODczNg%3D%3D
Substance Exchange,DeFi、DEX,"Arbitrum, ZetaChain",https://www.rootdata.com/Projects/detail/Substance%20Exchange?k=ODcyNg%3D%3D
Sable Finance,DeFi、Lending、Stablecoin Protocol,"BNB Chain, Base",https://www.rootdata.com/Projects/detail/Sable%20Finance?k=ODcyNQ%3D%3D
Delabs Games,Gaming、Studio,None,https://www.rootdata.com/Projects/detail/Delabs%20Games?k=ODcxOA%3D%3D
Lympid,CeFi、CeDeFi,None,https://www.rootdata.com/Projects/detail/Lympid?k=ODcwOQ%3D%3D
RIDO,Infra、Storage Network,None,https://www.rootdata.com/Projects/detail/RIDO?k=ODcwMw%3D%3D
Marginly,DeFi、Derivatives,"Arbitrum, ZkSync",https://www.rootdata.com/Projects/detail/Marginly?k=ODY5OQ%3D%3D
Creds,Reputation System,None,https://www.rootdata.com/Projects/detail/Creds?k=ODY5OA%3D%3D
Locus Finance,DeFi、Yield aggregator,"Ethereum, Arbitrum",https://www.rootdata.com/Projects/detail/Locus%20Finance?k=ODY5Ng%3D%3D
zkPhantazm,DeFi、Lending,Polygon zkEVM,https://www.rootdata.com/Projects/detail/zkPhantazm?k=ODY5NQ%3D%3D
QnA3.AIGPT,Tools、AI,"Solana, opBNB",https://www.rootdata.com/Projects/detail/QnA3.AI?k=ODY5MQ%3D%3D
PHUX,DeFi、DEX,Ethereum,https://www.rootdata.com/Projects/detail/PHUX?k=ODY4Nw%3D%3D
ReactorFusionRF,DeFi、Lending,ZkSync,https://www.rootdata.com/Projects/detail/ReactorFusion?k=ODY4MQ%3D%3D
Peko Protocol,DeFi、Lending,Linea,https://www.rootdata.com/Projects/detail/Peko%20Protocol?k=ODY4MA%3D%3D
SpartaDexSPARTA,DeFi、DEX,Arbitrum,https://www.rootdata.com/Projects/detail/SpartaDex?k=ODY3OQ%3D%3D
Zypher Network,Gaming、Infra、Game Platforms、On-Chain Gaming、Gaming Solutions,"Arbitrum, Linea, Mantle",https://www.rootdata.com/Projects/detail/Zypher%20Network?k=ODY3Mw%3D%3D
Lenspeer,Social、Lens Ecosystem,Polygon,https://www.rootdata.com/Projects/detail/Lenspeer?k=ODY3Mg%3D%3D
Nocturne,Privacy,Ethereum,https://www.rootdata.com/Projects/detail/Nocturne?k=ODY2NQ%3D%3D
Paradex,DeFi、Derivatives、Appchain,StarkNet,https://www.rootdata.com/Projects/detail/Paradex?k=ODY2NA%3D%3D
0x00x0,Security Solutions、Security Audit、Privacy,Ethereum,https://www.rootdata.com/Projects/detail/0x0?k=ODY1OA%3D%3D
HackQuest,Crypto Education,None,https://www.rootdata.com/Projects/detail/HackQuest?k=ODY1Ng%3D%3D
LuminaDEX,DeFi、DEX,Mina,https://www.rootdata.com/Projects/detail/LuminaDEX?k=ODY1NA%3D%3D
Camino NetworkCAM,Infra、Layer1,Avalanche,https://www.rootdata.com/Projects/detail/Camino%20Network?k=ODY1Mg%3D%3D
Spire,Infra、Modular、Layer3,None,https://www.rootdata.com/Projects/detail/Spire?k=ODY1MQ%3D%3D
Synonym FinanceSYNO,DeFi、Lending,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/Synonym%20Finance?k=ODY1MA%3D%3D
Claimabl3,NFT、NFT solutions,"Ethereum, Polygon, Solana",https://www.rootdata.com/Projects/detail/Claimabl3?k=ODY0Nw%3D%3D
DIP ExchangeDIP,DeFi、DEX,Base,https://www.rootdata.com/Projects/detail/DIP%20Exchange?k=ODY0NQ%3D%3D
ReaxREAX,DeFi、Derivatives、Synthetic Assets,Mantle,https://www.rootdata.com/Projects/detail/Reax?k=ODY0Mw%3D%3D
AGNI,DeFi、DEX、Launchpad,Mantle,https://www.rootdata.com/Projects/detail/AGNI?k=ODY0Mg%3D%3D
BoltBotBOLT,DeFi、TG Bot,Ethereum,https://www.rootdata.com/Projects/detail/BoltBot?k=ODYzNw%3D%3D
UnibotUNIBOT,DeFi、TG Bot、DEX,Ethereum,https://www.rootdata.com/Projects/detail/Unibot?k=ODYzNg%3D%3D
Desig,Infra、Wallet、MPC Wallet,"Linea, X Layer",https://www.rootdata.com/Projects/detail/Desig?k=ODYzMw%3D%3D
LayerBank,DeFi、Lending,"Linea, Scroll, B² Network",https://www.rootdata.com/Projects/detail/LayerBank?k=ODYyNg%3D%3D
Linea Name Service,Infra、DID、Name Service,"Ethereum, Linea",https://www.rootdata.com/Projects/detail/Linea%20Name%20Service?k=ODYyNQ%3D%3D
Kroma,Infra、Layer2,Ethereum,https://www.rootdata.com/Projects/detail/Kroma?k=ODYxOQ%3D%3D
FWDX,DeFi、DEX,"Polygon, Linea",https://www.rootdata.com/Projects/detail/FWDX?k=ODYxNg%3D%3D
Meta MergeMMM,Gaming,"BNB Chain, Linea",https://www.rootdata.com/Projects/detail/Meta%20Merge?k=ODYxNQ%3D%3D
Tatarot,Gaming,Linea,https://www.rootdata.com/Projects/detail/Tatarot?k=ODYxMg%3D%3D
bilinear.io,NFT、NFT marketplace,Linea,https://www.rootdata.com/Projects/detail/bilinear.io?k=ODYxMA%3D%3D
Orally,Infra、Oracle,"Ethereum, Polygon, BNB Chain",https://www.rootdata.com/Projects/detail/Orally?k=ODYwOQ%3D%3D
LootBotLOOT,Tools,None,https://www.rootdata.com/Projects/detail/LootBot?k=ODU5OQ%3D%3D
GenieBotGENIE,DeFi、TG Bot,None,https://www.rootdata.com/Projects/detail/GenieBot?k=ODU5OA%3D%3D
Ammos Finance,DeFi、DEX,Mantle,https://www.rootdata.com/Projects/detail/Ammos%20Finance?k=ODU5NQ%3D%3D
LogX,DeFi、Derivatives,"Arbitrum, Optimism, Linea",https://www.rootdata.com/Projects/detail/LogX?k=ODU5NA%3D%3D
Gnosis Pay,Payments,None,https://www.rootdata.com/Projects/detail/Gnosis%20Pay?k=ODU4Nw%3D%3D
FusionX Finance,DeFi、DEX,Mantle,https://www.rootdata.com/Projects/detail/FusionX%20Finance?k=ODU4Ng%3D%3D
Galador,DeFi、DEX,Mantle,https://www.rootdata.com/Projects/detail/Galador?k=ODU4NA%3D%3D
EthenaENA,DeFi、Stablecoin Protocol,"Ethereum, Injective",https://www.rootdata.com/Projects/detail/Ethena?k=ODU4Mw%3D%3D
BlueSpadeBLU,DeFi、Derivatives、Perp,"Polygon, Cronos",https://www.rootdata.com/Projects/detail/BlueSpade?k=ODU3OQ%3D%3D
UBUNTU,Charity,None,https://www.rootdata.com/Projects/detail/UBUNTU?k=ODU3Nw%3D%3D
Mutiny Wallet,Infra、Wallet、Lightning Network Ecosystem,None,https://www.rootdata.com/Projects/detail/Mutiny%20Wallet?k=ODU3Ng%3D%3D
Fluo Finance,DeFi、Derivatives,"Ethereum, BNB Chain, Arbitrum",https://www.rootdata.com/Projects/detail/Fluo%20Finance?k=ODU2Mw%3D%3D
SuiGame,Gaming、Game Platforms,Sui,https://www.rootdata.com/Projects/detail/SuiGame?k=ODU2MA%3D%3D
Mendi FinanceMENDI,DeFi、Lending,Linea,https://www.rootdata.com/Projects/detail/Mendi%20Finance?k=ODU1Ng%3D%3D
LensPlay,Social、Lens Ecosystem,Polygon,https://www.rootdata.com/Projects/detail/LensPlay?k=ODU1NA%3D%3D
EchoDEX,DeFi、DEX,Linea,https://www.rootdata.com/Projects/detail/EchoDEX?k=ODU1Mg%3D%3D
Primal,Social,None,https://www.rootdata.com/Projects/detail/Primal?k=ODU0OA%3D%3D
Pepe Analytics,Tools、Data & Analysis,None,https://www.rootdata.com/Projects/detail/Pepe%20Analytics?k=ODU0NQ%3D%3D
PicassoNFT,NFT、NFTFi,"Polygon, BNB Chain, Arbitrum",https://www.rootdata.com/Projects/detail/PicassoNFT?k=ODUzOQ%3D%3D
Grass,Infra、Cloud Computing、AI,Solana,https://www.rootdata.com/Projects/detail/Grass?k=ODUzNQ%3D%3D
Gondi,NFT、NFTFi、NFT Lending,Ethereum,https://www.rootdata.com/Projects/detail/Gondi?k=ODUzMw%3D%3D
PinnakoPIKO,DeFi、Derivatives,"ZkSync, Mantle",https://www.rootdata.com/Projects/detail/Pinnako?k=ODUyNw%3D%3D
117 Partners,Crypto Consulting,None,https://www.rootdata.com/Projects/detail/117%20Partners?k=ODUyMQ%3D%3D
Zksecurity,Security Solutions、Security Audit,None,https://www.rootdata.com/Projects/detail/Zksecurity?k=ODUxNw%3D%3D
ZKP2P,Payments、On/Off Ramp Gateway,Ethereum,https://www.rootdata.com/Projects/detail/ZKP2P?k=ODUxNg%3D%3D
Bnzk,Infra、zk、Bitcoin Ecosystem,Bitcoin,https://www.rootdata.com/Projects/detail/Bnzk?k=ODUxNQ%3D%3D
Robox,NFT、NFTFi,Solana,https://www.rootdata.com/Projects/detail/Robox?k=ODUwNw%3D%3D
NAVI ProtocolNAVX,DeFi、Lending,Sui,https://www.rootdata.com/Projects/detail/NAVI%20Protocol?k=ODQ5Ng%3D%3D
Bucket Protocol,DeFi、Stablecoin Protocol,Sui,https://www.rootdata.com/Projects/detail/Bucket%20Protocol?k=ODQ5NQ%3D%3D
StakeStone,DeFi、LSD,"Ethereum, Manta",https://www.rootdata.com/Projects/detail/StakeStone?k=ODQ5MQ%3D%3D
Rollux,Infra、Layer2、Bitcoin Ecosystem,Bitcoin,https://www.rootdata.com/Projects/detail/Rollux?k=ODQ2Ng%3D%3D
Lendlord,NFT、NFTFi、NFT Leasing,Cosmos,https://www.rootdata.com/Projects/detail/Lendlord?k=ODQ2MA%3D%3D
NFTokenizer,NFT,Neutron,https://www.rootdata.com/Projects/detail/NFTokenizer?k=ODQ1OA%3D%3D
Luminex,BRC-20、NFT、Ordinals、Bitcoin Ecosystem,Bitcoin,https://www.rootdata.com/Projects/detail/Luminex?k=ODQ1Nw%3D%3D
SoQuest,Tools、Task Platform,None,https://www.rootdata.com/Projects/detail/SoQuest?k=ODQ1NQ%3D%3D
Ghast ProtocolGHA,DeFi、Yield optimizer,Arbitrum,https://www.rootdata.com/Projects/detail/Ghast%20Protocol?k=ODQ1MQ%3D%3D
Phoenix,DeFi、DEX、OrderBook DEX,Solana,https://www.rootdata.com/Projects/detail/Phoenix?k=ODQ0OQ%3D%3D
AsMatchASM,Social,"Base, Linea, Manta",https://www.rootdata.com/Projects/detail/AsMatch?k=ODQzMg%3D%3D
RebootGG,Infra、Dev Platform、Gaming Solutions,Arbitrum,https://www.rootdata.com/Projects/detail/Reboot?k=ODQxOQ%3D%3D
CrusSwap,DeFi、DEX,"ZkSync, Scroll",https://www.rootdata.com/Projects/detail/CrusSwap?k=ODQxNw%3D%3D
BullBear AIAIBB,Tools、Data & Analysis,Arbitrum,https://www.rootdata.com/Projects/detail/BullBear%20AI?k=ODQxNg%3D%3D
Superstate,DeFi、RWA,Ethereum,https://www.rootdata.com/Projects/detail/Superstate?k=ODQxNQ%3D%3D
Atriv,NFT、NFT marketplace,Flare Network,https://www.rootdata.com/Projects/detail/Atriv?k=ODQxMw%3D%3D
Nodeless,Payments、Lightning Network Ecosystem,None,https://www.rootdata.com/Projects/detail/Nodeless?k=ODM3MQ%3D%3D
Mori Finance,DeFi、LSD、Stablecoin Protocol,Ethereum,https://www.rootdata.com/Projects/detail/Mori%20Finance?k=ODMyMg%3D%3D
Dojo,Infra、Dev Platform、Gaming Solutions,StarkNet,https://www.rootdata.com/Projects/detail/Dojo?k=ODMwMQ%3D%3D
Golden Gate,Infra、Cross-Chain Communication,None,https://www.rootdata.com/Projects/detail/Golden%20Gate?k=ODI5Nw%3D%3D
MinervaMINE,DeFi、Derivatives、Perp,Optimism,https://www.rootdata.com/Projects/detail/Minerva?k=ODI5MA%3D%3D
Offramp.xyz,DeFi、On/Off Ramp Gateway,Ethereum,https://www.rootdata.com/Projects/detail/Offramp.xyz?k=ODI3MQ%3D%3D
Akron Finance,DeFi、DEX,"Ethereum, Polygon",https://www.rootdata.com/Projects/detail/Akron%20Finance?k=ODI2OA%3D%3D
Dopepool Finance,DeFi、Yield aggregator,"Polygon, BNB Chain, Optimism",https://www.rootdata.com/Projects/detail/Dopepool%20Finance?k=ODI2Nw%3D%3D
Fracton Protocol,NFT、NFTFi、NFT Fragmentation,Ethereum,https://www.rootdata.com/Projects/detail/Fracton%20Protocol?k=ODI2Ng%3D%3D
EstforKingdom,Gaming,Fantom,https://www.rootdata.com/Projects/detail/EstforKingdom?k=ODI2Mw%3D%3D
Spot On Chain,Tools、Data & Analysis,None,https://www.rootdata.com/Projects/detail/Spot%20On%20Chain?k=ODI2MQ%3D%3D
TwiPlay,Social、Tools,None,https://www.rootdata.com/Projects/detail/TwiPlay?k=ODI1Ng%3D%3D
l2telegraph,Cross-chain Bridge、Layerzero Ecosystem,"Polygon, Arbitrum, ZkSync",https://www.rootdata.com/Projects/detail/l2telegraph?k=ODI1NA%3D%3D
zkDX,DeFi、Derivatives、Perp,"ZkSync, Linea, Scroll",https://www.rootdata.com/Projects/detail/zkDX?k=ODI1MA%3D%3D
StarScope,Tools、On-Chain Notification,Cosmos,https://www.rootdata.com/Projects/detail/StarScope?k=ODI0OQ%3D%3D
Ward Wallet,Infra、Wallet,Injective,https://www.rootdata.com/Projects/detail/Ward%20Wallet?k=ODI0Nw%3D%3D
Fusion Trade,DeFi、Derivatives、Perp,Injective,https://www.rootdata.com/Projects/detail/Fusion%20Trade?k=ODI0NQ%3D%3D
Omx Protocol,DeFi、Derivatives、Perp,Osmosis,https://www.rootdata.com/Projects/detail/Omx%20Protocol?k=ODI0NA%3D%3D
Aegis Finance,Privacy,Osmosis,https://www.rootdata.com/Projects/detail/Aegis%20Finance?k=ODI0Mg%3D%3D
